	name	encoding
101	Gatik4	[-0.1874895542860031, 0.15221931040287018, 0.07707399874925613, -0.08191606402397156, -0.033697932958602905, 0.022627785801887512, -0.006570708006620407, -0.0521116778254509, 0.23121166229248047, -0.054824624210596085, 0.26878249645233154, 0.006237764842808247, -0.19879287481307983, -0.1087220311164856, 0.011998814530670643, 0.11159402132034302, -0.2317264974117279, -0.056473661214113235, -0.058881718665361404, -0.08798018097877502, 0.08168893307447433, 0.051567014306783676, 0.029268041253089905, 0.05551515519618988, -0.17440839111804962, -0.3976845145225525, -0.1062498539686203, -0.07382115721702576, 0.05853423476219177, -0.07299815118312836, -0.010972164571285248, -0.05611897259950638, -0.19987818598747253, -0.06539382040500641, -0.05644829571247101, 0.06054103001952171, -0.036814719438552856, -0.08932287991046906, 0.13183140754699707, -0.022990424185991287, -0.10688399523496628, -0.010032014921307564, 0.016935579478740692, 0.2992890477180481, 0.18105047941207886, 0.037346839904785156, 0.0001732800155878067, 0.032976001501083374, 0.099808469414711, -0.27669861912727356, 0.07634609192609787, 0.12507258355617523, 0.037590548396110535, 0.056181468069553375, 0.11479547619819641, -0.08624568581581116, -0.03509825840592384, 0.16765764355659485, -0.19589221477508545, 0.06955233961343765, -0.00803955178707838, -0.04260941594839096, 0.014225872233510017, -0.053834956139326096, 0.18008734285831451, 0.18029187619686127, -0.1159663125872612, -0.11513090133666992, 0.0835447609424591, -0.13906210660934448, -0.007909150794148445, 0.02925030142068863, -0.11988633126020432, -0.2146056592464447, -0.3091546595096588, 0.09017026424407959, 0.4074249267578125, 0.17748960852622986, -0.1528201550245285, -0.02450018748641014, -0.052239008247852325, -0.02519753761589527, 0.12893010675907135, 0.05318073928356171, -0.06088720262050629, 0.007919135503470898, -0.1221592053771019, 0.11790570616722107, 0.1830095797777176, 0.030456598848104477, -0.0891905426979065, 0.2888433337211609, -0.006592217832803726, 0.020078130066394806, 0.0013935850001871586, 0.05596619099378586, -0.06891652941703796, 0.0185068491846323, -0.09262950718402863, 0.06472904235124588, 0.0979069247841835, -0.028611987829208374, -0.00908215157687664, 0.09529104083776474, -0.14415773749351501, 0.14678733050823212, 0.04847583919763565, 0.013248953968286514, -0.027265001088380814, -0.007253458723425865, -0.14170043170452118, 0.005031412001699209, 0.14478734135627747, -0.2522476613521576, 0.20574991405010223, 0.1870104819536209, -0.010483075864613056, 0.1898883432149887, 0.013340440578758717, -0.008600439876317978, 0.017080087214708328, -0.03571755066514015, -0.09578268975019455, -0.05398030951619148, 0.0302103441208601, -0.043032050132751465, 0.11088667809963226, 0.03432471305131912]
102	Gatik4	[-0.1941845715045929, 0.13471803069114685, 0.07519346475601196, -0.08059937506914139, -0.01148202084004879, 0.019127095118165016, 0.02115364745259285, -0.05538387969136238, 0.22132331132888794, -0.05836150422692299, 0.2626641094684601, 0.008304775692522526, -0.21125882863998413, -0.11237911134958267, 0.025985218584537506, 0.11887437105178833, -0.22960014641284943, -0.05182779207825661, -0.06834982335567474, -0.09498413652181625, 0.08024704456329346, 0.04991258308291435, 0.01916401833295822, 0.046395353972911835, -0.18642428517341614, -0.38443899154663086, -0.10989049822092056, -0.07112283259630203, 0.05719748139381409, -0.06458903104066849, -0.005969296209514141, -0.05211552605032921, -0.21074515581130981, -0.06817126274108887, -0.05208401754498482, 0.04269813001155853, -0.04493900015950203, -0.1132102757692337, 0.14900225400924683, -0.014491405338048935, -0.09380747377872467, -0.008098767139017582, 0.030758298933506012, 0.2946002185344696, 0.17787888646125793, 0.021155670285224915, 0.005402693524956703, 0.03909047320485115, 0.11649395525455475, -0.2974860668182373, 0.06014145165681839, 0.10084878653287888, 0.051889970898628235, 0.07109438627958298, 0.1109456792473793, -0.0892331600189209, -0.02739420346915722, 0.17928776144981384, -0.21878202259540558, 0.08392521739006042, -0.027731966227293015, -0.05319853872060776, 0.01409297063946724, -0.03951621055603027, 0.18484696745872498, 0.1739770919084549, -0.12127853184938431, -0.1119343563914299, 0.09639230370521545, -0.12602058053016663, 0.007798848208039999, 0.04066222161054611, -0.11573050171136856, -0.2294175624847412, -0.29592177271842957, 0.11149116605520248, 0.4027479588985443, 0.18314597010612488, -0.14773674309253693, -0.025301218032836914, -0.061584312468767166, -0.039314620196819305, 0.12670697271823883, 0.051791440695524216, -0.04511457681655884, -0.014818527735769749, -0.10717364400625229, 0.1223549172282219, 0.21031878888607025, 0.0301453098654747, -0.09852038323879242, 0.2998228073120117, -0.0023620016872882843, 0.011065519414842129, -0.018884679302573204, 0.04523110017180443, -0.07437776029109955, 0.016833163797855377, -0.0832192525267601, 0.05972499027848244, 0.10347059369087219, -0.024469874799251556, -0.0011484534479677677, 0.10713963210582733, -0.14717744290828705, 0.1566655933856964, 0.043989185243844986, 0.0006680553779006004, -0.02864321693778038, -0.026838604360818863, -0.14178206026554108, 0.02662479318678379, 0.12315204739570618, -0.263703316450119, 0.21628984808921814, 0.18731385469436646, -0.01021533738821745, 0.18350717425346375, -0.0026504388079047203, -0.03324800357222557, 0.03693539276719093, -0.02991802617907524, -0.10425899922847748, -0.06032853573560715, 0.05965948477387428, -0.039541903883218765, 0.1169576495885849, 0.02283540368080139]
103	Gatik4	[-0.1945151537656784, 0.15014542639255524, 0.06645260751247406, -0.09547245502471924, -0.04223763570189476, 0.02787492796778679, 0.016906457021832466, -0.040905218571424484, 0.27423417568206787, -0.046054594218730927, 0.2285054475069046, 0.024851243942975998, -0.20568305253982544, -0.10497055947780609, 0.02361365593969822, 0.0923948585987091, -0.21385900676250458, -0.05499226599931717, -0.047372929751873016, -0.09058088809251785, 0.07845299690961838, 0.04397018253803253, 0.03756619244813919, 0.06325337290763855, -0.1843279004096985, -0.3881441056728363, -0.10850153863430023, -0.07914184033870697, 0.05487072467803955, -0.09701071679592133, -0.011620071716606617, -0.05402287095785141, -0.20403148233890533, -0.07265090942382812, -0.07132261991500854, 0.05564254894852638, -0.047837499529123306, -0.0950937420129776, 0.13451412320137024, -0.007879740558564663, -0.09378904104232788, -0.0373569056391716, -0.0039765238761901855, 0.2905270755290985, 0.18235619366168976, 0.01608511246740818, 0.003770427778363228, 0.0311493631452322, 0.09986750781536102, -0.2602781355381012, 0.06756577640771866, 0.11857517063617706, 0.026069574058055878, 0.045901115983724594, 0.10783351212739944, -0.07961251586675644, -0.03957277163863182, 0.16323530673980713, -0.20700454711914062, 0.0791548490524292, -0.0042969174683094025, -0.05936930328607559, -0.019178293645381927, -0.03568413481116295, 0.17584039270877838, 0.1760672777891159, -0.10316561162471771, -0.1295679658651352, 0.09520192444324493, -0.13793043792247772, 0.011256297118961811, 0.040820784866809845, -0.10926839709281921, -0.21330256760120392, -0.2690519094467163, 0.09946846216917038, 0.3948625326156616, 0.17565369606018066, -0.14109021425247192, -0.028038034215569496, -0.09325533360242844, -0.033334940671920776, 0.1042587086558342, 0.03912540525197983, -0.06499551236629486, 0.008049793541431427, -0.12694412469863892, 0.129024937748909, 0.17563894391059875, 0.03221724554896355, -0.07773836702108383, 0.28633198142051697, 0.00691948551684618, 0.013891522772610188, -0.00813613273203373, 0.04176793619990349, -0.08895926922559738, 0.032156508415937424, -0.08892611414194107, 0.04036713391542435, 0.12176042050123215, -0.03839333355426788, 0.003879919182509184, 0.09905386716127396, -0.15298855304718018, 0.15197326242923737, 0.05807312950491905, -0.004845890216529369, -0.020158801227808, -0.025281868875026703, -0.1543091982603073, -0.005126447882503271, 0.14999373257160187, -0.25090402364730835, 0.19501516222953796, 0.1736678183078766, -0.0030909983906894922, 0.1888752430677414, -0.0016617216169834137, -0.006145751103758812, 0.0271138958632946, -0.03526227921247482, -0.0806550532579422, -0.028771908953785896, 0.03475937619805336, -0.03391211852431297, 0.10505826026201248, 0.027142031118273735]
104	Gatik4	[-0.19991250336170197, 0.14927150309085846, 0.0750599130988121, -0.0759073793888092, -0.03726387396454811, 0.031736575067043304, 0.005142102017998695, -0.04306916892528534, 0.24832461774349213, -0.01910589449107647, 0.257396936416626, 0.016871172934770584, -0.2187594324350357, -0.10559283196926117, 0.02656375989317894, 0.10019424557685852, -0.20853160321712494, -0.055739082396030426, -0.04215989261865616, -0.08224603533744812, 0.06985057890415192, 0.03483759984374046, 0.04089623689651489, 0.06622793525457382, -0.18918447196483612, -0.40410730242729187, -0.10603852570056915, -0.07647363841533661, 0.03544200211763382, -0.09591760486364365, -0.008970358408987522, -0.04043194279074669, -0.21475237607955933, -0.07999631017446518, -0.06377701461315155, 0.055389922112226486, -0.04942245036363602, -0.10977751761674881, 0.14560991525650024, -0.028042392805218697, -0.1022997796535492, -0.03033873811364174, 0.022202912718057632, 0.2952096462249756, 0.16561120748519897, 0.023433033376932144, 0.008696896955370903, 0.033630941063165665, 0.09743061661720276, -0.2666133642196655, 0.07297918945550919, 0.13016946613788605, 0.041108351200819016, 0.05114687979221344, 0.08732705563306808, -0.0741126537322998, -0.028691543266177177, 0.1706739217042923, -0.2167956382036209, 0.07293082773685455, 0.00048113521188497543, -0.04797600954771042, -0.002994324080646038, -0.05520332604646683, 0.1879940778017044, 0.1848890334367752, -0.11033184081315994, -0.11996007710695267, 0.07283356785774231, -0.12954558432102203, 0.0037955548614263535, 0.043938200920820236, -0.12697167694568634, -0.24234265089035034, -0.2984272539615631, 0.12190604209899902, 0.3860695958137512, 0.17507165670394897, -0.14290225505828857, -0.02676377445459366, -0.06961929798126221, -0.031142015010118484, 0.09471285343170166, 0.05183986574411392, -0.0705748200416565, 0.007033730857074261, -0.12153588235378265, 0.12623421847820282, 0.19426874816417694, 0.03931989520788193, -0.08318702131509781, 0.2896309494972229, 0.0072708819061517715, 0.008044565096497536, -0.005828604567795992, 0.06151169165968895, -0.0743459165096283, 0.02679400146007538, -0.09335634857416153, 0.06326089054346085, 0.11232908070087433, -0.026609433814883232, 0.004774201195687056, 0.10466066002845764, -0.15595616400241852, 0.1383649855852127, 0.04859613627195358, -0.006290331482887268, -0.01169754471629858, -0.021967608481645584, -0.14914824068546295, -0.02476431615650654, 0.13956212997436523, -0.25980082154273987, 0.1913413256406784, 0.17278681695461273, 0.004957897122949362, 0.18716928362846375, 0.0029165837913751602, 0.005128050222992897, 0.02122982032597065, -0.026173196732997894, -0.08642887324094772, -0.0325796976685524, 0.06319203227758408, -0.034983374178409576, 0.10994769632816315, 0.026128370314836502]
105	Gatik4	[-0.22362910211086273, 0.16279028356075287, 0.09155404567718506, -0.08322769403457642, -0.06300491094589233, 0.01473279856145382, 0.009636195376515388, -0.06002476438879967, 0.2598298192024231, -0.10241949558258057, 0.26102903485298157, 0.011742983013391495, -0.19760559499263763, -0.1274181753396988, 0.03997981920838356, 0.11841118335723877, -0.1856292486190796, -0.06213443726301193, -0.02546461671590805, -0.06752429902553558, 0.07543119043111801, 0.0625498965382576, 0.039800770580768585, 0.07801171392202377, -0.1540650576353073, -0.4369625449180603, -0.09961572289466858, -0.08055560290813446, 0.00814871210604906, -0.07259359955787659, -0.007679829373955727, -0.02597712352871895, -0.1936134546995163, -0.07170160859823227, -0.050640493631362915, 0.06407029926776886, -0.04316246882081032, -0.058089595288038254, 0.14341634511947632, -0.008325498551130295, -0.13238313794136047, -0.029354412108659744, 0.01990162581205368, 0.2907998263835907, 0.1579035222530365, 0.032541923224925995, 0.017129886895418167, -0.004108193330466747, 0.12334585189819336, -0.2287283092737198, 0.06223997473716736, 0.10877656936645508, 0.04127655178308487, 0.01477853488177061, 0.11513902992010117, -0.09683457016944885, -0.043043650686740875, 0.15071988105773926, -0.21390800178050995, 0.050253480672836304, 0.004034220241010189, -0.05543036758899689, -0.025402594357728958, -0.04661906138062477, 0.19592009484767914, 0.16826575994491577, -0.10345715284347534, -0.14122752845287323, 0.09849508851766586, -0.13391689956188202, -0.006129066925495863, 0.05659446865320206, -0.13977694511413574, -0.21793240308761597, -0.28878054022789, 0.11014918982982635, 0.40571466088294983, 0.16663110256195068, -0.10602674633264542, -0.019698571413755417, -0.0697796642780304, -0.0333523191511631, 0.07996458560228348, 0.0801335796713829, -0.06572964042425156, -0.007718951441347599, -0.08054181933403015, 0.1211310401558876, 0.15585920214653015, 0.047015879303216934, -0.07677160948514938, 0.27239298820495605, -0.003505505621433258, 0.03214059770107269, -0.031261030584573746, 0.00420883484184742, -0.09346376359462738, 0.043956030160188675, -0.09493543207645416, 0.036978159099817276, 0.0694701075553894, -0.029455604031682014, 0.020141413435339928, 0.10573238879442215, -0.2089073807001114, 0.13704155385494232, 0.0230544600635767, -0.008274147287011147, -0.015291803516447544, 0.011001069098711014, -0.14893290400505066, -0.0009741296526044607, 0.10869420319795609, -0.2560153901576996, 0.1965169757604599, 0.16971008479595184, 0.024631960317492485, 0.20598620176315308, 0.025622455403208733, -0.012319814413785934, 0.04114723205566406, -0.02893025055527687, -0.11118565499782562, -0.026660911738872528, 0.07902878522872925, -0.046310923993587494, 0.11985567212104797, 0.012916294857859612]
106	Gatik4	[-0.19200365245342255, 0.14719431102275848, 0.06690619140863419, -0.07938447594642639, -0.025189124047756195, 0.000738128088414669, -0.006448192521929741, -0.04483935609459877, 0.26749128103256226, -0.06954531371593475, 0.23463860154151917, 0.005713282618671656, -0.1835736334323883, -0.1164945587515831, 0.010386109352111816, 0.095164954662323, -0.20241579413414001, -0.05419337376952171, -0.03724030777812004, -0.08856569975614548, 0.08026977628469467, 0.06090272217988968, 0.07025396823883057, 0.07746589928865433, -0.16626539826393127, -0.3937007784843445, -0.10354730486869812, -0.07884654402732849, 0.030589301139116287, -0.08974964916706085, -0.049259379506111145, -0.038283687084913254, -0.2004132717847824, -0.07807821035385132, -0.06682900339365005, 0.06420907378196716, -0.03259668126702309, -0.0894448459148407, 0.15524712204933167, 0.00551493838429451, -0.08949343115091324, -0.028270173817873, -0.013544034212827682, 0.3082335591316223, 0.17647024989128113, 0.015205645002424717, -0.007839927449822426, 0.012382009997963905, 0.11506093293428421, -0.24500174820423126, 0.07707520574331284, 0.12705253064632416, 0.04627984017133713, 0.023481909185647964, 0.10424315929412842, -0.0799584612250328, -0.03944636136293411, 0.1494383066892624, -0.18925027549266815, 0.058057572692632675, 0.0028737224638462067, -0.03514506295323372, -0.020971328020095825, -0.06314480304718018, 0.17542928457260132, 0.17542460560798645, -0.10750921070575714, -0.12123289704322815, 0.06303080916404724, -0.12457799166440964, 0.017805594950914383, 0.05169869214296341, -0.12302469462156296, -0.22928212583065033, -0.2654845416545868, 0.10777690261602402, 0.3740694522857666, 0.17853565514087677, -0.14347898960113525, -0.032364942133426666, -0.07930934429168701, -0.029774164780974388, 0.10522069782018661, 0.04665330797433853, -0.08574019372463226, 0.029334666207432747, -0.12616373598575592, 0.12997764348983765, 0.15135997533798218, 0.03314143791794777, -0.09974095970392227, 0.2741078734397888, -0.0007940251380205154, 0.03193072974681854, -0.006366353016346693, 0.03267647698521614, -0.08879959583282471, 0.0507999025285244, -0.10658454895019531, 0.06553249061107635, 0.11884420365095139, -0.0398087352514267, -0.009825922548770905, 0.0875588059425354, -0.15591920912265778, 0.1253564953804016, 0.039040617644786835, -0.01846698299050331, -0.021486598998308182, -0.024467075243592262, -0.1748887002468109, -0.009855407290160656, 0.13187994062900543, -0.24701276421546936, 0.16490238904953003, 0.16234278678894043, 0.014504400081932545, 0.2127739042043686, 0.01627352088689804, 0.006567482836544514, 0.019764188677072525, -0.023659395053982735, -0.08621389418840408, -0.025390421971678734, 0.06596953421831131, -0.011324601247906685, 0.12146397680044174, 0.019627857953310013]
107	Gatik4	[-0.1832902878522873, 0.14294520020484924, 0.06858349591493607, -0.08303545415401459, -0.056350432336330414, 0.0192817784845829, 0.0030424874275922775, -0.04145754873752594, 0.26654252409935, -0.04364466667175293, 0.20099110901355743, 0.021077627316117287, -0.185608372092247, -0.09875337034463882, -0.010297959670424461, 0.08481854945421219, -0.21739204227924347, -0.030876006931066513, -0.027676327154040337, -0.0840265303850174, 0.09551292657852173, 0.058675915002822876, 0.08187244832515717, 0.0833636149764061, -0.17915330827236176, -0.3569193482398987, -0.09083475917577744, -0.07819084078073502, 0.04412350803613663, -0.08075859397649765, -0.03168416768312454, -0.04768550023436546, -0.19850708544254303, -0.06745603680610657, -0.06968409568071365, 0.05652902275323868, -0.04004007205367088, -0.09585246443748474, 0.1713232398033142, -0.008785752579569817, -0.09808720648288727, -0.02442001923918724, -0.029680436477065086, 0.27962392568588257, 0.17043428122997284, -0.002252208534628153, -0.00017629750072956085, -0.028320353478193283, 0.14469633996486664, -0.2636428475379944, 0.10000646114349365, 0.14328186213970184, 0.036726199090480804, 0.01560148037970066, 0.08451396971940994, -0.07383055239915848, -0.038832783699035645, 0.17508749663829803, -0.18896953761577606, 0.06611000746488571, 0.018032416701316833, -0.036111656576395035, -0.009106122888624668, -0.07212822139263153, 0.1544828563928604, 0.18268682062625885, -0.11395837366580963, -0.13096193969249725, 0.05618299916386604, -0.12681783735752106, 0.011274738237261772, 0.053719643503427505, -0.09672064334154129, -0.2174801379442215, -0.278973788022995, 0.0948515385389328, 0.38958805799484253, 0.18040145933628082, -0.15839549899101257, -0.04457791522145271, -0.13307994604110718, -0.019371548667550087, 0.11385883390903473, 0.05207759141921997, -0.08975839614868164, 0.010590855032205582, -0.12813669443130493, 0.11734098941087723, 0.1529303342103958, 0.012024623341858387, -0.09255249053239822, 0.28592339158058167, 0.03973190486431122, 0.042001061141490936, -0.011921800673007965, 0.044843051582574844, -0.11010096967220306, 0.051817022264003754, -0.09289402514696121, 0.0711725652217865, 0.10935121774673462, -0.031675584614276886, 0.01123836450278759, 0.09320555627346039, -0.166298970580101, 0.15437231957912445, 0.04465823993086815, -0.022620387375354767, 0.0022715507075190544, -0.05118083208799362, -0.17908240854740143, -0.012970675714313984, 0.14589114487171173, -0.25066035985946655, 0.16900447010993958, 0.13281193375587463, 0.010065332055091858, 0.22277115285396576, 0.03131764382123947, 0.03112751431763172, 0.007899971678853035, -0.03388211876153946, -0.07146529853343964, -0.004928880371153355, 0.07728637009859085, -0.020634761080145836, 0.11500511318445206, 0.02199179120361805]
108	Gatik4	[-0.18158642947673798, 0.1346195489168167, 0.0739261731505394, -0.059028781950473785, -0.04558873549103737, 0.012208858504891396, 0.020026154816150665, -0.02786586619913578, 0.2745227515697479, -0.055783480405807495, 0.23941980302333832, 0.03443673253059387, -0.17429648339748383, -0.1131024956703186, -0.012356196530163288, 0.10163301229476929, -0.19633391499519348, -0.030091259628534317, -0.03305260092020035, -0.0772060677409172, 0.09467008709907532, 0.05874808132648468, 0.07324181497097015, 0.08854305744171143, -0.15970122814178467, -0.3500669300556183, -0.06835445761680603, -0.08457449078559875, 0.03145221248269081, -0.08927715569734573, -0.043328989297151566, -0.02737095206975937, -0.20629866421222687, -0.08432865142822266, -0.07411757856607437, 0.040250323712825775, -0.05004308000206947, -0.08852069824934006, 0.18092146515846252, -0.014151172712445259, -0.10143251717090607, -0.025274066254496574, -0.01280246302485466, 0.279550701379776, 0.17156969010829926, -0.01712188869714737, -0.004072314128279686, -0.03814633563160896, 0.1447489857673645, -0.2630133032798767, 0.0810379832983017, 0.1282738894224167, 0.03495336323976517, 0.03618107736110687, 0.06602437049150467, -0.09167081862688065, -0.03351335600018501, 0.17018388211727142, -0.17394372820854187, 0.06329827755689621, 0.0034895436838269234, -0.04850319027900696, -0.013065258041024208, -0.05945577472448349, 0.16309870779514313, 0.16072161495685577, -0.10150766372680664, -0.13718074560165405, 0.03827986121177673, -0.11756423115730286, 0.020888712257146835, 0.08193672448396683, -0.10971855372190475, -0.2259797304868698, -0.267444908618927, 0.11477675288915634, 0.3920382261276245, 0.16067279875278473, -0.13697785139083862, -0.030286241322755814, -0.12918829917907715, -0.036362241953611374, 0.10647467523813248, 0.058958426117897034, -0.06811444461345673, -0.010213270783424377, -0.1225249245762825, 0.1210237443447113, 0.15658120810985565, 0.01674378290772438, -0.08045261353254318, 0.279167503118515, 0.02650861255824566, 0.0341370515525341, -0.023148203268647194, 0.040184471756219864, -0.10365065187215805, 0.07788505405187607, -0.08672233670949936, 0.0697079449892044, 0.09504957497119904, -0.035624731332063675, 0.012377615086734295, 0.07866661995649338, -0.17598079144954681, 0.13320055603981018, 0.03440131992101669, -0.005247754976153374, 0.022663496434688568, -0.05585887283086777, -0.16533787548542023, -0.012379223480820656, 0.12500418722629547, -0.23648740351200104, 0.1859675645828247, 0.12076567113399506, 0.03372025862336159, 0.22287866473197937, 0.029084064066410065, 0.03422366455197334, 0.007008125074207783, -0.030912788584828377, -0.08907383680343628, 0.025159871205687523, 0.09372731298208237, -0.022544801235198975, 0.1160641461610794, 0.007163736037909985]
109	Gatik4	[-0.2096368670463562, 0.15484318137168884, 0.07581955939531326, -0.0516929104924202, -0.005659996997565031, -0.01204804889857769, 0.003172287717461586, -0.0503736212849617, 0.2813188433647156, -0.06217018514871597, 0.22731684148311615, 0.02690793201327324, -0.18371345102787018, -0.10408651828765869, 0.004550734534859657, 0.1055213063955307, -0.21567079424858093, -0.04010547697544098, -0.036522991955280304, -0.09202263504266739, 0.0818156823515892, 0.05641280859708786, 0.07335174828767776, 0.07619094103574753, -0.16233250498771667, -0.3632925748825073, -0.074608713388443, -0.10232993960380554, 0.010887647047638893, -0.07517104595899582, -0.033761054277420044, -0.04042281210422516, -0.20555931329727173, -0.0775953084230423, -0.07905256003141403, 0.04249846190214157, -0.023643117398023605, -0.06191742792725563, 0.1545083075761795, -0.001978977583348751, -0.08118247240781784, -0.057568058371543884, -0.02553306519985199, 0.27660897374153137, 0.17712928354740143, -0.004559656605124474, -0.00274529866874218, -0.023330405354499817, 0.10845837742090225, -0.25437620282173157, 0.06604908406734467, 0.11041302978992462, 0.03327446058392525, 0.03861742466688156, 0.07195200026035309, -0.09591378271579742, -0.04580966383218765, 0.13826148211956024, -0.18555471301078796, 0.06652840971946716, 0.019346119835972786, -0.036680541932582855, -0.028883719816803932, -0.030824089422822, 0.19218407571315765, 0.1822648048400879, -0.11042419821023941, -0.11809872090816498, 0.06503321975469589, -0.12123813480138779, 0.019773785024881363, 0.05295875295996666, -0.09919430315494537, -0.22934551537036896, -0.2710631191730499, 0.09393533319234848, 0.38080304861068726, 0.16152091324329376, -0.1420273631811142, -0.04525463655591011, -0.14490702748298645, -0.02801140770316124, 0.09809116274118423, 0.034661345183849335, -0.08596018701791763, 0.02142101712524891, -0.1162649393081665, 0.1179390400648117, 0.15274350345134735, 0.04281425476074219, -0.10068660229444504, 0.2763667404651642, 0.0053071752190589905, 0.029190324246883392, -0.012800050899386406, 0.03328473120927811, -0.08741024881601334, 0.04303992539644241, -0.11025616526603699, 0.04022040590643883, 0.08537237346172333, -0.02866348624229431, 0.005457961466163397, 0.08358874171972275, -0.15870429575443268, 0.12779895961284637, 0.04616698622703552, -0.00857209786772728, -0.0064960988238453865, -0.01396089792251587, -0.17600685358047485, -0.019882408902049065, 0.13673657178878784, -0.21970658004283905, 0.17487655580043793, 0.1384834349155426, 0.029150493443012238, 0.22177645564079285, 0.014381016604602337, 0.026188857853412628, -0.0002995487302541733, -0.023631025105714798, -0.08014053851366043, 0.01055899728089571, 0.07295819371938705, -0.004011819139122963, 0.12554830312728882, 0.024037286639213562]
110	Gatik4	[-0.19043084979057312, 0.13782256841659546, 0.052704550325870514, -0.040713369846343994, -0.04793958365917206, -0.010164899751543999, 0.009287074208259583, -0.03534943610429764, 0.24998582899570465, -0.035736437886953354, 0.21895067393779755, 0.03116944059729576, -0.1599293202161789, -0.11091388761997223, 0.009529370814561844, 0.08802221715450287, -0.23156574368476868, -0.05155349522829056, -0.030423466116189957, -0.0808839350938797, 0.08064906299114227, 0.06978580355644226, 0.07648852467536926, 0.08405519276857376, -0.1564784198999405, -0.334322065114975, -0.0756278857588768, -0.12943613529205322, 0.08966422080993652, -0.10510332137346268, -0.03493184223771095, -0.04882775619626045, -0.16995497047901154, -0.07624838501214981, -0.05108466371893883, 0.0170444343239069, -0.02338242158293724, -0.08905132859945297, 0.21038591861724854, 0.0005938755348324776, -0.13202917575836182, -0.04129704460501671, -0.03006124496459961, 0.3187100887298584, 0.19033977389335632, -0.008262991905212402, -0.0032881125807762146, -0.04176925867795944, 0.16659411787986755, -0.2636776566505432, 0.09357576817274094, 0.1461198478937149, 0.05104411393404007, 0.018748752772808075, 0.0817851647734642, -0.10225889831781387, -0.03163561969995499, 0.1580248922109604, -0.211447611451149, 0.10533391684293747, 0.038870662450790405, -0.04424506798386574, 0.01868510991334915, -0.06488491594791412, 0.16073431074619293, 0.14298871159553528, -0.10592538118362427, -0.13731348514556885, 0.06679930537939072, -0.14820683002471924, -0.0007629781030118465, 0.08710607886314392, -0.10298274457454681, -0.2466614693403244, -0.2882901430130005, 0.0870359018445015, 0.3869091272354126, 0.19890737533569336, -0.14374607801437378, -0.02653786540031433, -0.11188241839408875, -0.042614392936229706, 0.12046787142753601, 0.09665756672620773, -0.084720179438591, 0.0029061762616038322, -0.1234947070479393, 0.08401183038949966, 0.16116146743297577, 0.018354622647166252, -0.08525356650352478, 0.2769118547439575, 0.01428038626909256, 0.022962504997849464, -0.010552477091550827, 0.05047006160020828, -0.10695290565490723, 0.051400404423475266, -0.07949680089950562, 0.05971589311957359, 0.07833751291036606, -0.05958534777164459, 0.0305043812841177, 0.10077069699764252, -0.1641739010810852, 0.14079342782497406, 0.023575153201818466, -0.007573444861918688, -0.020505469292402267, -0.04840824753046036, -0.13888798654079437, -0.008446887135505676, 0.1450527310371399, -0.23356574773788452, 0.1937873214483261, 0.14810578525066376, 0.040633849799633026, 0.22015951573848724, 0.015275828540325165, 0.03742566332221031, -0.00575128011405468, -0.030420539900660515, -0.08803170174360275, 0.007709958124905825, 0.05550361052155495, -0.02385062351822853, 0.1089232861995697, 0.025103606283664703]
